,state,date,precipitation,region
104,BA,2006-09-30 00:00:00,"126,9",brazil
105,BA,2006-10-31 00:00:00,"258,9",brazil
106,BA,2006-11-30 00:00:00,220,brazil
107,BA,2006-12-31 00:00:00,"30,3",brazil
108,BA,2007-01-31 00:00:00,20,brazil
109,BA,2007-02-28 00:00:00,"282,6",brazil
110,BA,2007-03-31 00:00:00,"86,8",brazil
111,BA,2007-04-30 00:00:00,"143,2",brazil
112,BA,2007-05-31 00:00:00,"211,2",brazil
113,BA,2007-06-30 00:00:00,134,brazil
114,BA,2007-07-31 00:00:00,"130,4",brazil
115,BA,2007-08-31 00:00:00,109,brazil
116,BA,2007-09-30 00:00:00,"85,8",brazil
117,BA,2007-10-31 00:00:00,"78,9",brazil
118,BA,2007-11-30 00:00:00,"19,1",brazil
119,BA,2007-12-31 00:00:00,"18,8",brazil
120,BA,2008-01-31 00:00:00,"17,8",brazil
121,BA,2008-02-29 00:00:00,"183,8",brazil
122,BA,2008-03-31 00:00:00,"149,3",brazil
123,BA,2008-04-30 00:00:00,"154,3",brazil
124,BA,2008-05-31 00:00:00,"203,6",brazil
125,BA,2008-06-30 00:00:00,"178,2",brazil
126,BA,2008-07-31 00:00:00,"149,1",brazil
127,BA,2008-08-31 00:00:00,"58,7",brazil
128,BA,2008-09-30 00:00:00,"37,8",brazil
129,BA,2008-10-31 00:00:00,"31,7",brazil
130,BA,2008-11-30 00:00:00,"78,4",brazil
131,BA,2008-12-31 00:00:00,"103,5",brazil
132,BA,2009-01-31 00:00:00,"30,3",brazil
133,BA,2009-02-28 00:00:00,"122,1",brazil
134,BA,2009-03-31 00:00:00,"25,6",brazil
135,BA,2009-04-30 00:00:00,"506,6",brazil
136,BA,2009-05-31 00:00:00,"549,3",brazil
137,BA,2009-06-30 00:00:00,"155,1",brazil
138,BA,2009-07-31 00:00:00,"158,9",brazil
139,BA,2009-08-31 00:00:00,"93,8",brazil
140,BA,2009-09-30 00:00:00,"56,1",brazil
141,BA,2009-10-31 00:00:00,"162,4",brazil
142,BA,2009-11-30 00:00:00,"48,1",brazil
143,BA,2009-12-31 00:00:00,"5,8",brazil
144,BA,2010-01-31 00:00:00,"78,5",brazil
145,BA,2010-02-28 00:00:00,"19,2",brazil
146,BA,2010-03-31 00:00:00,"122,8",brazil
147,BA,2010-04-30 00:00:00,"448,8",brazil
148,BA,2010-05-31 00:00:00,"243,8",brazil
149,BA,2010-06-30 00:00:00,"96,6",brazil
150,BA,2010-07-31 00:00:00,"492,5",brazil
151,BA,2010-08-31 00:00:00,"176,3",brazil
152,BA,2010-09-30 00:00:00,"55,8",brazil
153,BA,2010-10-31 00:00:00,"56,7",brazil
154,BA,2010-11-30 00:00:00,"27,2",brazil
155,BA,2010-12-31 00:00:00,"102,5",brazil
156,BA,2011-01-31 00:00:00,"170,3",brazil
157,BA,2011-02-28 00:00:00,"46,2",brazil
158,BA,2011-03-31 00:00:00,"200,7",brazil
159,BA,2011-04-30 00:00:00,331,brazil
160,BA,2011-05-31 00:00:00,"304,2",brazil
161,BA,2011-06-30 00:00:00,"277,7",brazil
162,BA,2011-07-31 00:00:00,"57,6",brazil
163,BA,2011-08-31 00:00:00,"91,3",brazil
164,BA,2011-09-30 00:00:00,62,brazil
165,BA,2011-10-31 00:00:00,"208,5",brazil
166,BA,2011-11-30 00:00:00,"319,2",brazil
167,BA,2011-12-31 00:00:00,"100,7",brazil
168,BA,2012-01-31 00:00:00,"35,7",brazil
169,BA,2012-02-29 00:00:00,"70,9",brazil
170,BA,2012-03-31 00:00:00,"74,7",brazil
171,BA,2012-04-30 00:00:00,"48,8",brazil
172,BA,2012-05-31 00:00:00,"411,5",brazil
173,BA,2012-06-30 00:00:00,"170,2",brazil
174,BA,2012-07-31 00:00:00,"162,5",brazil
175,BA,2012-08-31 00:00:00,"137,4",brazil
176,BA,2012-09-30 00:00:00,"30,7",brazil
177,BA,2012-10-31 00:00:00,"73,6",brazil
178,BA,2012-11-30 00:00:00,"35,5",brazil
179,BA,2012-12-31 00:00:00,"10,7",brazil
180,BA,2013-01-31 00:00:00,"36,2",brazil
181,BA,2013-02-28 00:00:00,"28,6",brazil
182,BA,2013-03-31 00:00:00,"38,4",brazil
183,BA,2013-04-30 00:00:00,"230,8",brazil
184,BA,2013-05-31 00:00:00,"231,1",brazil
185,BA,2013-06-30 00:00:00,"308,4",brazil
186,BA,2013-07-31 00:00:00,198,brazil
187,BA,2013-08-31 00:00:00,"211,2",brazil
188,BA,2013-09-30 00:00:00,"109,4",brazil
189,BA,2013-10-31 00:00:00,"208,6",brazil
190,BA,2013-11-30 00:00:00,"209,2",brazil
